dataset,horizon_sec,feature_name,positive_rows,negative_rows,feature_id,block,history_definition,variable_type,unit,behavioural_reason,primary_association_test,effect_size,redundancy_check,predictive_ranking,selection_status,missing_handling,important_note,present_in_final_dataset,experiment_role,test,n_positive_nonmissing,n_negative_nonmissing,positive_mean,negative_mean,positive_median,negative_median,statistic,p_value,effect_size_name,test_detail,q_value_bh,fdr_significant_0p05
individual,2,current_vy_mps,3801,24338,P04,individual_motion,smoothed value at decision time,numeric,m/s,Positive forward motion is direct evidence of approaching the road,Mann-Whitney U,0.4540852238196136,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,Current value competes with 2 s mean,True,individual_core,mann_whitney_u,3801,24338,0.741248728492502,-0.1349809124825376,0.69527,-0.035448499999999994,67257794.5,0.0,rank_biserial,two_sided,0.0,True
individual,3,current_vy_mps,5167,22972,P04,individual_motion,smoothed value at decision time,numeric,m/s,Positive forward motion is direct evidence of approaching the road,Mann-Whitney U,0.4400462730421204,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,Current value competes with 2 s mean,True,individual_core,mann_whitney_u,5167,22972,0.6682424580994775,-0.17066375639909456,0.582329,-0.043072,85464099.5,0.0,rank_biserial,two_sided,0.0,True
individual,1,current_speed_mps,1745,26394,P05,individual_motion,smoothed value at decision time,numeric,m/s,Separates stationary waiting from active movement,Mann-Whitney U,0.5044231203887832,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,May be redundant with vx and vy,True,individual_core,mann_whitney_u,1745,26394,1.9028069295128942,0.9400991799651436,1.518282,0.552926,34645006.5,1.1431026860412705e-273,rank_biserial,two_sided,4.4009453412588916e-272,True
individual,2,current_speed_mps,3801,24338,P05,individual_motion,smoothed value at decision time,numeric,m/s,Separates stationary waiting from active movement,Mann-Whitney U,0.42615264084566795,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,May be redundant with vx and vy,True,individual_core,mann_whitney_u,3801,24338,1.6082974796106289,0.9047677347358041,1.250872,0.509214,65965790.5,0.0,rank_biserial,two_sided,0.0,True
individual,3,current_speed_mps,5167,22972,P05,individual_motion,smoothed value at decision time,numeric,m/s,Separates stationary waiting from active movement,Mann-Whitney U,0.3960036285538211,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,May be redundant with vx and vy,True,individual_core,mann_whitney_u,5167,22972,1.498646967098897,0.8875965074438448,1.176562,0.4846575,82850249.5,0.0,rank_biserial,two_sided,0.0,True
individual,1,history_mean_vx_mps,1745,26394,P06,individual_motion,mean across previous 2 s,numeric,m/s,Stable lateral movement reduces frame-level jitter,Mann-Whitney U,-0.08160079361615791,Spearman,grouped permutation importance,candidate,mean over available valid observations,Preferred over a single noisy frame when similarly predictive,True,individual_core,mann_whitney_u,1745,26394,-0.08958076847104489,-0.022315728461538308,-0.0404222857142857,-0.0019269747899159002,21149599.5,1.0779333733571303e-08,rank_biserial,two_sided,1.980514312871994e-08,True
individual,2,history_mean_vx_mps,3801,24338,P06,individual_motion,mean across previous 2 s,numeric,m/s,Stable lateral movement reduces frame-level jitter,Mann-Whitney U,-0.01637600979920406,Spearman,grouped permutation importance,candidate,mean over available valid observations,Preferred over a single noisy frame when similarly predictive,True,individual_core,mann_whitney_u,3801,24338,-0.06521557927943072,-0.020438629351413398,-0.0111950476190476,-0.0021840952380952,45496907.0,0.10388816096095017,rank_biserial,two_sided,0.11266744216891779,False
individual,3,history_mean_vx_mps,5167,22972,P06,individual_motion,mean across previous 2 s,numeric,m/s,Stable lateral movement reduces frame-level jitter,Mann-Whitney U,0.009520699225697982,Spearman,grouped permutation importance,candidate,mean over available valid observations,Preferred over a single noisy frame when similarly predictive,True,individual_core,mann_whitney_u,5167,22972,-0.053417041431562874,-0.020429824347855226,1.0476190476184432e-06,-0.0025200476190475997,59913198.0,0.2841736370711133,rank_biserial,two_sided,0.31712130513732933,False
individual,1,history_mean_vy_mps,1745,26394,P07,individual_motion,mean across previous 2 s,numeric,m/s,Stable forward movement is expected to indicate crossing preparation,Mann-Whitney U,0.4302357942338637,Spearman,grouped permutation importance,candidate,mean over available valid observations,Core behavioural candidate,True,individual_core,mann_whitney_u,1745,26394,0.5319323836452317,-0.06812039890038461,0.5896998095238095,-0.006180619047619,32936564.0,1.146760174556246e-199,rank_biserial,two_sided,1.2614361920118706e-198,True
individual,2,history_mean_vy_mps,3801,24338,P07,individual_motion,mean across previous 2 s,numeric,m/s,Stable forward movement is expected to indicate crossing preparation,Mann-Whitney U,0.5398376097185544,Spearman,grouped permutation importance,candidate,mean over available valid observations,Core behavioural candidate,True,individual_core,mann_whitney_u,3801,24338,0.5595110684952184,-0.12311814325195773,0.6347530952380952,-0.0136004285714285,71224217.0,0.0,rank_biserial,two_sided,0.0,True
individual,3,history_mean_vy_mps,5167,22972,P07,individual_motion,mean across previous 2 s,numeric,m/s,Stable forward movement is expected to indicate crossing preparation,Mann-Whitney U,0.564054098254972,Spearman,grouped permutation importance,candidate,mean over available valid observations,Core behavioural candidate,True,individual_core,mann_whitney_u,5167,22972,0.5277766311607577,-0.15657189849919279,0.5859040000000001,-0.0196060952380952,92823736.0,0.0,rank_biserial,two_sided,0.0,True
individual,1,history_mean_speed_mps,1745,26394,P08,individual_motion,mean across previous 2 s,numeric,m/s,Represents general activity over the observation period,Mann-Whitney U,0.46858305254319976,Spearman,grouped permutation importance,candidate,mean over available valid observations,May be redundant with mean vx and vy,True,individual_core,mann_whitney_u,1745,26394,1.5385125544196658,0.9722505462989118,1.4746357142857145,0.8854914285714286,33819654.0,1.8722411253464219e-236,rank_biserial,two_sided,3.604064166291862e-235,True
individual,2,history_mean_speed_mps,3801,24338,P08,individual_motion,mean across previous 2 s,numeric,m/s,Represents general activity over the observation period,Mann-Whitney U,0.4245014562840539,Spearman,grouped permutation importance,candidate,mean over available valid observations,May be redundant with mean vx and vy,True,individual_core,mann_whitney_u,3801,24338,1.4417161004566201,0.9395316964680821,1.3738640952380952,0.8307415,65889416.0,0.0,rank_biserial,two_sided,0.0,True
individual,3,history_mean_speed_mps,5167,22972,P08,individual_motion,mean across previous 2 s,numeric,m/s,Represents general activity over the observation period,Mann-Whitney U,0.39492538960178747,Spearman,grouped permutation importance,candidate,mean over available valid observations,May be redundant with mean vx and vy,True,individual_core,mann_whitney_u,5167,22972,1.3851796815185775,0.9223864666580754,1.313786761904762,0.8021553809523809,82786258.0,0.0,rank_biserial,two_sided,0.0,True
individual,1,history_speed_std_mps,1745,26394,P09,individual_motion,standard deviation across previous 2 s,numeric,m/s,Stop-start behaviour may indicate hesitation or preparation,Mann-Whitney U,0.3824354888332049,Spearman,grouped permutation importance,candidate,computed over available valid observations,Requires at least two valid observations,True,individual_core,mann_whitney_u,1745,26394,1.090995371116009,0.7406387190378014,0.9442481234446222,0.5745623694971647,31835782.0,3.3830707972182306e-158,rank_biserial,two_sided,2.3681495580527618e-157,True
individual,2,history_speed_std_mps,3801,24338,P09,individual_motion,standard deviation across previous 2 s,numeric,m/s,Stop-start behaviour may indicate hesitation or preparation,Mann-Whitney U,0.348142831653373,Spearman,grouped permutation importance,candidate,computed over available valid observations,Requires at least two valid observations,True,individual_core,mann_whitney_u,3801,24338,1.0279268324353057,0.7208914201164667,0.8791488286655775,0.5479826358255888,62357496.0,6.252346517725674e-262,rank_biserial,two_sided,4.376642562407971e-261,True
individual,3,history_speed_std_mps,5167,22972,P09,individual_motion,standard deviation across previous 2 s,numeric,m/s,Stop-start behaviour may indicate hesitation or preparation,Mann-Whitney U,0.3369997203957218,Spearman,grouped permutation importance,candidate,computed over available valid observations,Requires at least two valid observations,True,individual_core,mann_whitney_u,5167,22972,1.0030052772532683,0.7082394656674876,0.8536094990789573,0.5320280690219332,79348476.0,0.0,rank_biserial,two_sided,0.0,True
individual,1,history_vy_slope_mps2,1745,26394,P10,individual_motion,linear slope of vy across previous 2 s,numeric,m/s^2,Increasing forward velocity may indicate developing intention,Mann-Whitney U,0.021533373587337312,Spearman,grouped permutation importance,candidate,computed only with sufficient time points,More robust than raw frame acceleration,True,individual_core,mann_whitney_u,1745,26394,-0.06349540711324309,0.008012757787451297,0.0544971168831323,0.0049840454545442,23524652.0,0.13132426761743696,rank_biserial,two_sided,0.14445669437918066,False
individual,2,history_vy_slope_mps2,3801,24338,P10,individual_motion,linear slope of vy across previous 2 s,numeric,m/s^2,Increasing forward velocity may indicate developing intention,Mann-Whitney U,0.024943784229334076,Spearman,grouped permutation importance,candidate,computed only with sufficient time points,More robust than raw frame acceleration,True,individual_core,mann_whitney_u,3801,24338,-0.02859906941288347,0.00860359546666737,0.04695680519483,0.00415653896103875,47408128.0,0.013243663953315953,rank_biserial,two_sided,0.016186700387386163,True
individual,3,history_vy_slope_mps2,5167,22972,P10,individual_motion,linear slope of vy across previous 2 s,numeric,m/s^2,Increasing forward velocity may indicate developing intention,Mann-Whitney U,0.024802014930133787,Spearman,grouped permutation importance,candidate,computed only with sufficient time points,More robust than raw frame acceleration,True,individual_core,mann_whitney_u,5167,22972,-0.015095373036543269,0.0077784710129374665,0.0413385714286547,0.0037767333205978,60820116.0,0.005270822020075811,rank_biserial,two_sided,0.0067642215924306245,True
individual,1,history_x_displacement_m,1745,26394,P11,individual_motion,last x minus first x over previous 2 s,numeric,m,Measures net movement along the waiting boundary,Mann-Whitney U,-0.08159551760591588,Spearman,grouped permutation importance,candidate,computed from available endpoints,May correlate with mean vx,True,individual_core,mann_whitney_u,1745,26394,-0.1780354011461318,-0.04243064582859741,-0.0798959999999999,-0.0036799999999996,21149721.0,1.080280534293815e-08,rank_biserial,two_sided,1.980514312871994e-08,True
individual,2,history_x_displacement_m,3801,24338,P11,individual_motion,last x minus first x over previous 2 s,numeric,m,Measures net movement along the waiting boundary,Mann-Whitney U,-0.0169807526722503,Spearman,grouped permutation importance,candidate,computed from available endpoints,May correlate with mean vx,True,individual_core,mann_whitney_u,3801,24338,-0.13284032596685083,-0.03803353447284083,-0.0172299999999996,-0.0042244999999999,45468935.0,0.09172922654063964,rank_biserial,two_sided,0.10090214919470361,False
individual,3,history_x_displacement_m,5167,22972,P11,individual_motion,last x minus first x over previous 2 s,numeric,m,Measures net movement along the waiting boundary,Mann-Whitney U,0.008765612657052557,Spearman,grouped permutation importance,candidate,computed from available endpoints,May correlate with mean vx,True,individual_core,mann_whitney_u,5167,22972,-0.11094352680472226,-0.037321131725578965,0.002509,-0.0049375,59868385.0,0.324108425809959,rank_biserial,two_sided,0.35651926839095494,False
individual,1,history_y_displacement_m,1745,26394,P12,individual_motion,last y minus first y over previous 2 s,numeric,m,Measures net movement toward or away from crossing onset,Mann-Whitney U,0.4254426149209478,Spearman,grouped permutation importance,candidate,computed from available endpoints,May correlate with mean vy,True,individual_core,mann_whitney_u,1745,26394,1.0471609541547278,-0.13752689675683868,1.197254,-0.0125314999999999,32826183.0,2.737767557513636e-195,rank_biserial,two_sided,2.6351012741068745e-194,True
individual,2,history_y_displacement_m,3801,24338,P12,individual_motion,last y minus first y over previous 2 s,numeric,m,Measures net movement toward or away from crossing onset,Mann-Whitney U,0.5351950212530194,Spearman,grouped permutation importance,candidate,computed from available endpoints,May correlate with mean vy,True,individual_core,mann_whitney_u,3801,24338,1.1030752575637992,-0.24633815851754456,1.257946,-0.027361999999999997,71009477.0,0.0,rank_biserial,two_sided,0.0,True
individual,3,history_y_displacement_m,5167,22972,P12,individual_motion,last y minus first y over previous 2 s,numeric,m,Measures net movement toward or away from crossing onset,Mann-Whitney U,0.5585832632862329,Spearman,grouped permutation importance,candidate,computed from available endpoints,May correlate with mean vy,True,individual_core,mann_whitney_u,5167,22972,1.0404407691116702,-0.31249114147658014,1.1634109999999998,-0.03784849999999995,92499052.0,0.0,rank_biserial,two_sided,0.0,True
individual,1,window_low_speed_fraction,1745,26394,W01,individual_waiting,fraction of previous 2 s at speed <=0.5 m/s,numeric,proportion,Quantifies recent stationary waiting rather than one-frame speed,Mann-Whitney U,-0.4237306255893445,Spearman,grouped permutation importance,candidate,computed over valid speed observations,Threshold sensitivity will later be checked,True,individual_core,mann_whitney_u,1745,26394,0.1953459090870048,0.4587993148229009,0.1428571428571428,0.3809523809523809,13270772.0,5.395192067408106e-195,rank_biserial,two_sided,4.615886546560269e-194,True
individual,2,window_low_speed_fraction,3801,24338,W01,individual_waiting,fraction of previous 2 s at speed <=0.5 m/s,numeric,proportion,Quantifies recent stationary waiting rather than one-frame speed,Mann-Whitney U,-0.4188171067688763,Spearman,grouped permutation importance,candidate,computed over valid speed observations,Threshold sensitivity will later be checked,True,individual_core,mann_whitney_u,3801,24338,0.21421562680191455,0.4781080667810992,0.1428571428571428,0.4285714285714285,26882248.0,0.0,rank_biserial,two_sided,0.0,True
individual,3,window_low_speed_fraction,5167,22972,W01,individual_waiting,fraction of previous 2 s at speed <=0.5 m/s,numeric,proportion,Quantifies recent stationary waiting rather than one-frame speed,Mann-Whitney U,-0.39692110431322203,Spearman,grouped permutation importance,candidate,computed over valid speed observations,Threshold sensitivity will later be checked,True,individual_core,mann_whitney_u,5167,22972,0.2358420489875706,0.48893574175838816,0.1428571428571428,0.4285714285714285,35791624.0,0.0,rank_biserial,two_sided,0.0,True
individual,1,waiting_band_dwell_sec,1745,26394,W02,individual_waiting,causal duration inside active-area band -2<=y<0,numeric,s,Longer waiting may change crossing acceptance behaviour,Mann-Whitney U,-0.2343235948606015,Spearman,grouped permutation importance,candidate,left-censoring reported separately,Uses history before the 2 s window when available,True,individual_core,mann_whitney_u,1745,26394,2.7116905444126087,6.5150223535652065,1.8999999999999544,2.699999999999909,17632582.0,1.3605445072644733e-60,rank_biserial,two_sided,8.730160588280372e-60,True
individual,2,waiting_band_dwell_sec,3801,24338,W02,individual_waiting,causal duration inside active-area band -2<=y<0,numeric,s,Longer waiting may change crossing acceptance behaviour,Mann-Whitney U,-0.23043391857750783,Spearman,grouped permutation importance,candidate,left-censoring reported separately,Uses history before the 2 s window when available,True,individual_core,mann_whitney_u,3801,24338,2.8573270192054747,6.813571369874272,1.900000000000182,2.8000000000000456,35595793.5,6.464127568163383e-116,rank_biserial,two_sided,4.147815189571504e-115,True
individual,3,waiting_band_dwell_sec,5167,22972,W02,individual_waiting,causal duration inside active-area band -2<=y<0,numeric,s,Longer waiting may change crossing acceptance behaviour,Mann-Whitney U,-0.24311816935459607,Spearman,grouped permutation importance,candidate,left-censoring reported separately,Uses history before the 2 s window when available,True,individual_core,mann_whitney_u,5167,22972,2.952757886587963,7.027359394044925,1.900000000000182,2.900000000000182,44919545.5,1.073776671597623e-164,rank_biserial,two_sided,6.890066976084748e-164,True
individual,1,waiting_low_speed_time_sec,1745,26394,W03,individual_waiting,causal cumulative low-speed time in current waiting episode,numeric,s,Tests whether cumulative low-velocity waiting beyond the fixed 2 s history affects crossing intention,Mann-Whitney U,-0.39412899475938024,Spearman,separate sensitivity validation,sensitivity_only,left-censoring reported separately,Report as low_velocity_total_waiting_time_sec; causal past-only state variable that may exceed 2 s and is excluded from the primary fixed-history ranking,True,individual_core,mann_whitney_u,1745,26394,0.8619484240687678,4.587444116086989,0.1,1.0,13952461.0,1.225221120834744e-169,rank_biserial,two_sided,9.434202630427528e-169,True
individual,2,waiting_low_speed_time_sec,3801,24338,W03,individual_waiting,causal cumulative low-speed time in current waiting episode,numeric,s,Tests whether cumulative low-velocity waiting beyond the fixed 2 s history affects crossing intention,Mann-Whitney U,-0.3625852943751108,Spearman,separate sensitivity validation,sensitivity_only,left-censoring reported separately,Report as low_velocity_total_waiting_time_sec; causal past-only state variable that may exceed 2 s and is excluded from the primary fixed-history ranking,True,individual_core,mann_whitney_u,3801,24338,1.032965009208103,4.875454022516229,0.2,1.1,29483215.0,6.755076761060878e-287,rank_biserial,two_sided,5.201409106016876e-286,True
individual,3,waiting_low_speed_time_sec,5167,22972,W03,individual_waiting,causal cumulative low-speed time in current waiting episode,numeric,s,Tests whether cumulative low-velocity waiting beyond the fixed 2 s history affects crossing intention,Mann-Whitney U,-0.34845796909430826,Spearman,separate sensitivity validation,sensitivity_only,left-censoring reported separately,Report as low_velocity_total_waiting_time_sec; causal past-only state variable that may exceed 2 s and is excluded from the primary fixed-history ranking,True,individual_core,mann_whitney_u,5167,22972,1.1718792335978325,5.07269719658715,0.2,1.2000000000000002,38667822.0,0.0,rank_biserial,two_sided,0.0,True
individual,1,gender,1745,26394,D01,individual_demography,best track-level gender label,categorical,category,Individual demographic differences are an explanatory research question,Chi-square or Fisher,0.03794404020344976,Cramer's V,grouped permutation importance,candidate,unknown retained as category,Classification uncertainty and bias must be documented,True,individual_core,chi_square,1745,26394,,,,,42.51176178779865,5.870677450009491e-10,cramers_v,"{""table"": {""female"": {""0"": 4141, ""1"": 225}, ""male"": {""0"": 17062, ""1"": 1261}, ""unknown"": {""0"": 5191, ""1"": 259}}, ""minimum_expected_count"": 270.75127047869506}",1.2556726768075856e-09,True
individual,2,gender,3801,24338,D01,individual_demography,best track-level gender label,categorical,category,Individual demographic differences are an explanatory research question,Chi-square or Fisher,0.06152603116078604,Cramer's V,grouped permutation importance,candidate,unknown retained as category,Classification uncertainty and bias must be documented,True,individual_core,chi_square,3801,24338,,,,,108.5151336813048,2.730474466107001e-24,cramers_v,"{""table"": {""female"": {""0"": 3890, ""1"": 476}, ""male"": {""0"": 15564, ""1"": 2759}, ""unknown"": {""0"": 4884, ""1"": 566}}, ""minimum_expected_count"": 589.7567788478624}",6.183721585007032e-24,True
individual,3,gender,5167,22972,D01,individual_demography,best track-level gender label,categorical,category,Individual demographic differences are an explanatory research question,Chi-square or Fisher,0.06125280771470235,Cramer's V,grouped permutation importance,candidate,unknown retained as category,Classification uncertainty and bias must be documented,True,individual_core,chi_square,5167,22972,,,,,107.57121471758299,4.377312156258972e-24,cramers_v,"{""table"": {""female"": {""0"": 3676, ""1"": 690}, ""male"": {""0"": 14641, ""1"": 3682}, ""unknown"": {""0"": 4655, ""1"": 795}}, ""minimum_expected_count"": 801.7030455950816}",9.362584334220579e-24,True
individual,1,age_group,1745,26394,D02,individual_demography,best track-level age group,categorical,category,Age category may influence movement and gap acceptance,Chi-square or Fisher,0.013554901635508551,Cramer's V,grouped permutation importance,candidate,unknown retained as category,No numerical age is created,True,individual_core,chi_square,1745,26394,,,,,8.170052124060762,0.04262491631424259,cramers_v,"{""table"": {""adult"": {""0"": 9454, ""1"": 662}, ""old"": {""0"": 829, ""1"": 46}, ""unknown"": {""0"": 13017, ""1"": 811}, ""young"": {""0"": 3094, ""1"": 226}}, ""minimum_expected_count"": 54.26187853157539}",0.04972906903328302,True
individual,2,age_group,3801,24338,D02,individual_demography,best track-level age group,categorical,category,Age category may influence movement and gap acceptance,Chi-square or Fisher,0.021808841649020392,Cramer's V,grouped permutation importance,candidate,unknown retained as category,No numerical age is created,True,individual_core,chi_square,3801,24338,,,,,16.383259003721665,0.0009461997809512918,cramers_v,"{""table"": {""adult"": {""0"": 8689, ""1"": 1427}, ""old"": {""0"": 776, ""1"": 99}, ""unknown"": {""0"": 12046, ""1"": 1782}, ""young"": {""0"": 2827, ""1"": 493}}, ""minimum_expected_count"": 118.19449873840577}",0.0012348709005635503,True
individual,3,age_group,5167,22972,D02,individual_demography,best track-level age group,categorical,category,Age category may influence movement and gap acceptance,Chi-square or Fisher,0.02298671167493514,Cramer's V,grouped permutation importance,candidate,unknown retained as category,No numerical age is created,True,individual_core,chi_square,5167,22972,,,,,17.867913850232515,0.0004683182469065461,cramers_v,"{""table"": {""adult"": {""0"": 8152, ""1"": 1964}, ""old"": {""0"": 732, ""1"": 143}, ""unknown"": {""0"": 11405, ""1"": 2423}, ""young"": {""0"": 2683, ""1"": 637}}, ""minimum_expected_count"": 160.67113259177654}",0.0006677871298482232,True
individual,1,history_observed_fraction,1745,26394,Q01,data_quality,fraction of expected 10 Hz history directly observed,numeric,proportion,Allows the model audit to quantify occlusion and reconstruction quality,Mann-Whitney U,-0.10125254220102553,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,mann_whitney_u,1745,26394,0.9556829035339066,0.9671263671036348,1.0,1.0,20697044.0,6.94725761163986e-19,rank_biserial,two_sided,2.325821026505518e-18,True
individual,2,history_observed_fraction,3801,24338,Q01,data_quality,fraction of expected 10 Hz history directly observed,numeric,proportion,Allows the model audit to quantify occlusion and reconstruction quality,Mann-Whitney U,-0.08501192611664421,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,mann_whitney_u,3801,24338,0.9585697999273376,0.9676422134306923,1.0,1.0,42322196.0,4.5014721127170236e-26,rank_biserial,two_sided,1.118107589287777e-25,True
individual,3,history_observed_fraction,5167,22972,Q01,data_quality,fraction of expected 10 Hz history directly observed,numeric,proportion,Allows the model audit to quantify occlusion and reconstruction quality,Mann-Whitney U,-0.09221368978537192,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,mann_whitney_u,5167,22972,0.9579658455214871,0.9683175377063589,1.0,1.0,53875449.0,1.6600854117974838e-38,rank_biserial,two_sided,4.407812989945043e-38,True
individual,1,history_interpolated_fraction,1745,26394,Q02,data_quality,fraction of expected history reconstructed,numeric,proportion,Tests whether reconstructed observations influence predictions,Mann-Whitney U,0.07377566708418803,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,mann_whitney_u,1745,26394,0.03053622595169872,0.023980919184374512,0.0,0.0,24727727.5,8.439536474823961e-12,rank_biserial,two_sided,2.1661476952048168e-11,True
individual,2,history_interpolated_fraction,3801,24338,Q02,data_quality,fraction of expected history reconstructed,numeric,proportion,Tests whether reconstructed observations influence predictions,Mann-Whitney U,0.0602441144532746,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,mann_whitney_u,3801,24338,0.02821312687137469,0.02378995809022926,0.0,0.0,49040922.5,2.6725471027657248e-15,rank_biserial,two_sided,5.14465317282402e-15,True
individual,3,history_interpolated_fraction,5167,22972,Q02,data_quality,fraction of expected history reconstructed,numeric,proportion,Tests whether reconstructed observations influence predictions,Mann-Whitney U,0.06526464122005993,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,mann_whitney_u,5167,22972,0.028615665348779337,0.02343639876288317,0.0,0.0,63221498.5,2.989936207347701e-22,rank_biserial,two_sided,6.058554946467711e-22,True
individual,1,history_max_unobserved_gap_sec,1745,26394,Q03,data_quality,longest missing interval in previous 2 s,numeric,s,Large occlusions may make intention less reliable,Mann-Whitney U,0.10377836154044728,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,mann_whitney_u,1745,26394,0.0783381088825215,0.05601651890581193,0.0,0.0,25418652.5,8.056409894255556e-20,rank_biserial,two_sided,2.8197434629894448e-19,True
