dataset,feature_name,feature_id,block,history_definition,variable_type,unit,behavioural_reason,primary_association_test,effect_size,redundancy_check,predictive_ranking,selection_status,missing_handling,important_note,present_in_final_dataset,experiment_role,nonmissing,missing,missing_fraction,unique_nonmissing,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,level_counts_json
individual,window_low_speed_fraction,W01,individual_waiting,fraction of previous 2 s at speed <=0.5 m/s,numeric,proportion,Quantifies recent stationary waiting rather than one-frame speed,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,computed over valid speed observations,Threshold sensitivity will later be checked,True,individual_core,28139,0,0.0,115,0.44246162716487686,0.3556752281609632,0.0,0.0,0.0,0.0952380952380952,0.3809523809523809,0.7619047619047619,1.0,1.0,1.0,
individual,waiting_band_dwell_sec,W02,individual_waiting,causal duration inside active-area band -2<=y<0,numeric,s,Longer waiting may change crossing acceptance behaviour,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,left-censoring reported separately,Uses history before the 2 s window when available,True,individual_core,28139,0,0.0,1509,6.279164149401188,12.403074948421464,0.1,0.1,0.2000000000000227,1.2999999999998182,2.6,5.999999999999977,22.00000000000009,76.1,127.1,
individual,waiting_low_speed_time_sec,W03,individual_waiting,causal cumulative low-speed time in current waiting episode,numeric,s,Tests whether cumulative low-velocity waiting beyond the fixed 2 s history affects crossing intention,Mann-Whitney U,rank-biserial,Spearman,separate sensitivity validation,sensitivity_only,left-censoring reported separately,Report as low_velocity_total_waiting_time_sec; causal past-only state variable that may exceed 2 s and is excluded from the primary fixed-history ranking,True,individual_core,28139,0,0.0,806,4.356412807846761,11.355896312555517,0.0,0.0,0.0,0.1,0.9,3.5,17.7,70.2619999999999,114.2,
individual,gender,D01,individual_demography,best track-level gender label,categorical,category,Individual demographic differences are an explanatory research question,Chi-square or Fisher,Cramer's V,Cramer's V,grouped permutation importance,candidate,unknown retained as category,Classification uncertainty and bias must be documented,True,individual_core,28139,0,0.0,3,,,,,,,,,,,,"{""male"": 18323, ""unknown"": 5450, ""female"": 4366}"
individual,age_group,D02,individual_demography,best track-level age group,categorical,category,Age category may influence movement and gap acceptance,Chi-square or Fisher,Cramer's V,Cramer's V,grouped permutation importance,candidate,unknown retained as category,No numerical age is created,True,individual_core,28139,0,0.0,4,,,,,,,,,,,,"{""unknown"": 13828, ""adult"": 10116, ""young"": 3320, ""old"": 875}"
individual,history_observed_fraction,Q01,data_quality,fraction of expected 10 Hz history directly observed,numeric,proportion,Allows the model audit to quantify occlusion and reconstruction quality,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,28139,0,0.0,7,0.9664167170119764,0.06642255593950902,0.7142857142857143,0.7142857142857143,0.8095238095238095,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,
individual,history_interpolated_fraction,Q02,data_quality,fraction of expected history reconstructed,numeric,proportion,Tests whether reconstructed observations influence predictions,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,28139,0,0.0,7,0.02438743719528395,0.053009216117414826,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.238095238095238,0.2857142857142857,
individual,history_max_unobserved_gap_sec,Q03,data_quality,longest missing interval in previous 2 s,numeric,s,Large occlusions may make intention less reliable,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,always defined,Quality variable not behavioural evidence,True,individual_core,28139,0,0.0,7,0.05740076051032375,0.1157579225748355,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.5,0.6000000000000001,
individual,active_vehicle_count,T01,traffic_context,count of vehicles inside vehicle active area at decision time,count,count,Represents overall traffic exposure,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero means none present,Vehicle active area only,True,individual_core,28139,0,0.0,44,14.92053733252781,11.428824824581762,0.0,0.0,1.0,4.0,13.0,25.0,34.0,38.0,43.0,
individual,approaching_vehicle_count,T02,traffic_context,count of relevant active vehicles with closing motion,count,count,Represents immediate approaching traffic pressure,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero means none approaching,Definition will use vehicle y and vy only,True,individual_core,28139,0,0.0,35,6.477522300010661,6.482189722391983,0.0,0.0,0.0,2.0,4.0,9.0,21.0,27.0,34.0,
individual,stopped_vehicle_count,T03,traffic_context,count of active vehicles below stopped-speed threshold,count,count,Stopped vehicles may permit or obstruct crossing,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero means none stopped,Threshold must be documented,True,individual_core,28139,0,0.0,40,6.89502114503003,8.854503263056767,0.0,0.0,0.0,0.0,2.0,12.0,26.0,32.0,39.0,
individual,veh1_present,V01.1,ranked_vehicle_context,current presence for each of three ranked vehicles,binary,0/1,Absence of a relevant vehicle is itself informative,Chi-square or Fisher,Cramer's V,phi or direct duplicate check,grouped permutation importance,candidate,zero when rank unavailable,Vehicle rank 1. Expands into three separate ranked features,True,individual_core,28139,0,0.0,2,,,,,,,,,,,,"{""1"": 26792, ""0"": 1347}"
individual,veh2_present,V01.2,ranked_vehicle_context,current presence for each of three ranked vehicles,binary,0/1,Absence of a relevant vehicle is itself informative,Chi-square or Fisher,Cramer's V,phi or direct duplicate check,grouped permutation importance,candidate,zero when rank unavailable,Vehicle rank 2. Expands into three separate ranked features,True,individual_core,28139,0,0.0,2,,,,,,,,,,,,"{""1"": 25253, ""0"": 2886}"
individual,veh3_present,V01.3,ranked_vehicle_context,current presence for each of three ranked vehicles,binary,0/1,Absence of a relevant vehicle is itself informative,Chi-square or Fisher,Cramer's V,phi or direct duplicate check,grouped permutation importance,candidate,zero when rank unavailable,Vehicle rank 3. Expands into three separate ranked features,True,individual_core,28139,0,0.0,2,,,,,,,,,,,,"{""1"": 23634, ""0"": 4505}"
individual,veh1_lateral_x_m,V02.1,ranked_vehicle_context,current vehicle x in vehicle coordinates,numeric,m,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 1. Do not subtract pedestrian x because coordinate origins differ,True,individual_core,26792,1347,0.04786950495753225,16259,2.837069365108988,1.8876055014060067,-3.548645,0.11046236000000001,0.5536096000000001,1.57142975,2.3158944999999997,4.03534325,6.978284199999988,7.870258240000001,10.518862,
individual,veh2_lateral_x_m,V02.2,ranked_vehicle_context,current vehicle x in vehicle coordinates,numeric,m,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 2. Do not subtract pedestrian x because coordinate origins differ,True,individual_core,25253,2886,0.10256228010945663,15270,5.211917195818319,2.0350297797703267,-3.444639,0.932574,2.0301938,3.883703,5.055798,6.721865,8.449537,9.922773799999998,11.534382,
individual,veh3_lateral_x_m,V02.3,ranked_vehicle_context,current vehicle x in vehicle coordinates,numeric,m,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 3. Do not subtract pedestrian x because coordinate origins differ,True,individual_core,23634,4505,0.1600980845090444,14183,7.4651157059321305,1.8172632985822728,-3.340721,3.286155,4.14727315,6.34541775,7.65938,8.586701,10.450216499999998,11.50863773,12.155653,
individual,veh1_front_y_m,V03.1,ranked_vehicle_context,current nonnegative vehicle y in vehicle coordinates,numeric,m,Vehicle y approximately represents forward distance to the conflict reference,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 1. Ranking is smallest y then absolute x,True,individual_core,26792,1347,0.04786950495753225,16288,6.727918365556883,10.60433593300806,0.002333,0.14898745,0.5268604500000001,1.527495,2.8928905,5.820119,28.722434699999994,57.06574843,84.60353,
individual,veh2_front_y_m,V03.2,ranked_vehicle_context,current nonnegative vehicle y in vehicle coordinates,numeric,m,Vehicle y approximately represents forward distance to the conflict reference,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 2. Ranking is smallest y then absolute x,True,individual_core,25253,2886,0.10256228010945663,15277,5.79722413459787,9.453545643547299,0.00454,0.13770132000000002,0.27771560000000006,1.096876,2.841645,5.494977,24.601523399999916,51.65117355999995,82.874652,
individual,veh3_front_y_m,V03.3,ranked_vehicle_context,current nonnegative vehicle y in vehicle coordinates,numeric,m,Vehicle y approximately represents forward distance to the conflict reference,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 3. Ranking is smallest y then absolute x,True,individual_core,23634,4505,0.1600980845090444,14190,4.843022299102986,7.869865370746525,0.001344,0.0733439,0.27781905,1.049109,2.32763,4.81216725,20.205523449999987,39.357470279999994,84.375354,
individual,veh1_speed_mps,V04.1,ranked_vehicle_context,current smoothed vehicle speed,numeric,m/s,Faster vehicles may reduce acceptable crossing opportunities,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 1. Expands into three separate ranked features,True,individual_core,26557,1582,0.05622090337254344,15811,2.346750279474338,3.4153307853453385,0.0,0.0014,0.006018,0.030843,0.310755,3.683565,9.737116,13.666979759999993,27.103661,
individual,veh2_speed_mps,V04.2,ranked_vehicle_context,current smoothed vehicle speed,numeric,m/s,Faster vehicles may reduce acceptable crossing opportunities,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 2. Expands into three separate ranked features,True,individual_core,25003,3136,0.1114467465084047,14868,2.235121421189457,3.075684792446744,0.0,0.00167104,0.006972,0.037074,0.600112,3.539639,8.768890899999999,12.73267,57.355828,
individual,veh3_speed_mps,V04.3,ranked_vehicle_context,current smoothed vehicle speed,numeric,m/s,Faster vehicles may reduce acceptable crossing opportunities,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 3. Expands into three separate ranked features,True,individual_core,23455,4684,0.1664593624506912,13904,2.068618673971435,2.6243830115648703,0.0,0.00185662,0.008111,0.045088,1.00708,3.360075,7.377466899999997,11.115625179999984,18.920121,
individual,veh1_closing_speed_mps,V05.1,ranked_vehicle_context,max of zero and negative vehicle vy,numeric,m/s,Closing speed directly represents approach toward the conflict reference,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 1. May be redundant with speed depending on heading,True,individual_core,26792,1347,0.04786950495753225,11723,2.2381028062481336,3.3932916127234463,0.0,0.0,0.0,0.0,0.149979,3.512665,9.651470899999985,13.605899690000003,26.909751,
individual,veh2_closing_speed_mps,V05.2,ranked_vehicle_context,max of zero and negative vehicle vy,numeric,m/s,Closing speed directly represents approach toward the conflict reference,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 2. May be redundant with speed depending on heading,True,individual_core,25253,2886,0.10256228010945663,11126,2.146016113729062,3.0703797276456117,0.0,0.0,0.0,0.0,0.310186,3.426476,8.693449,12.694322879999994,57.353557,
individual,veh3_closing_speed_mps,V05.3,ranked_vehicle_context,max of zero and negative vehicle vy,numeric,m/s,Closing speed directly represents approach toward the conflict reference,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,missing when rank unavailable; paired presence mask,Vehicle rank 3. May be redundant with speed depending on heading,True,individual_core,23634,4505,0.1600980845090444,10408,2.003372797495134,2.6264546869246614,0.0,0.0,0.0,0.00200125,0.84768,3.31138,7.315814,11.044859929999959,18.721352,
individual,veh1_ttc_capped_sec,V06.1,ranked_vehicle_context,front y divided by closing speed capped at 30 s,numeric,s,Short TTC can discourage crossing,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,30 s plus infinite indicator when nonfinite,Vehicle rank 1. TTC is vehicle-reference TTC not pedestrian-vehicle Euclidean TTC,True,individual_core,28139,0,0.0,7435,17.78770184885239,13.825008018616579,0.0038588818385464,0.0909584699214069,0.3661916055413776,1.834395008502728,30.0,30.0,30.0,30.0,30.0,
individual,veh2_ttc_capped_sec,V06.2,ranked_vehicle_context,front y divided by closing speed capped at 30 s,numeric,s,Short TTC can discourage crossing,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,30 s plus infinite indicator when nonfinite,Vehicle rank 2. TTC is vehicle-reference TTC not pedestrian-vehicle Euclidean TTC,True,individual_core,28139,0,0.0,7168,17.594791264457264,13.917082994663264,0.0032414755355268,0.08756206090225324,0.3576333466522922,1.6114884511827126,30.0,30.0,30.0,30.0,30.0,
individual,veh3_ttc_capped_sec,V06.3,ranked_vehicle_context,front y divided by closing speed capped at 30 s,numeric,s,Short TTC can discourage crossing,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,30 s plus infinite indicator when nonfinite,Vehicle rank 3. TTC is vehicle-reference TTC not pedestrian-vehicle Euclidean TTC,True,individual_core,28139,0,0.0,6847,17.367963247316926,14.043252315324883,0.0005455745541429,0.0852250976753713,0.3249176279936364,1.30596403529174,30.0,30.0,30.0,30.0,30.0,
individual,veh1_ttc_infinite,V07.1,ranked_vehicle_context,one when stopped receding or no finite TTC,binary,0/1,Separates genuinely large TTC from stopped or nonapproaching vehicles,Chi-square or Fisher,Cramer's V,phi or direct duplicate check,grouped permutation importance,candidate,one when TTC is nonfinite,Vehicle rank 1. Must accompany capped TTC,True,individual_core,28139,0,0.0,2,,,,,,,,,,,,"{""1"": 15574, ""0"": 12565}"
individual,veh2_ttc_infinite,V07.2,ranked_vehicle_context,one when stopped receding or no finite TTC,binary,0/1,Separates genuinely large TTC from stopped or nonapproaching vehicles,Chi-square or Fisher,Cramer's V,phi or direct duplicate check,grouped permutation importance,candidate,one when TTC is nonfinite,Vehicle rank 2. Must accompany capped TTC,True,individual_core,28139,0,0.0,2,,,,,,,,,,,,"{""1"": 15474, ""0"": 12665}"
individual,veh3_ttc_infinite,V07.3,ranked_vehicle_context,one when stopped receding or no finite TTC,binary,0/1,Separates genuinely large TTC from stopped or nonapproaching vehicles,Chi-square or Fisher,Cramer's V,phi or direct duplicate check,grouped permutation importance,candidate,one when TTC is nonfinite,Vehicle rank 3. Must accompany capped TTC,True,individual_core,28139,0,0.0,2,,,,,,,,,,,,"{""1"": 15364, ""0"": 12775}"
individual,veh1_class,V08.1,ranked_vehicle_context,best vehicle class for each ranked vehicle,categorical,category,Vehicle type may change perceived risk and pedestrian response,Chi-square or Fisher,Cramer's V,Cramer's V,grouped permutation importance,candidate,missing or unknown retained as category,Vehicle rank 1. Expands into three categorical features,True,individual_core,28139,0,0.0,15,,,,,,,,,,,,"{""9"": 11646, ""7"": 4424, ""1"": 4108, ""5"": 1787, ""10"": 1661, ""missing"": 1347, ""8"": 1104, ""3"": 1038, ""2"": 416, ""13"": 192, ""0"": 158, ""4"": 143, ""11"": 82, ""6"": 28, ""12"": 5}"
individual,veh2_class,V08.2,ranked_vehicle_context,best vehicle class for each ranked vehicle,categorical,category,Vehicle type may change perceived risk and pedestrian response,Chi-square or Fisher,Cramer's V,Cramer's V,grouped permutation importance,candidate,missing or unknown retained as category,Vehicle rank 2. Expands into three categorical features,True,individual_core,28139,0,0.0,14,,,,,,,,,,,,"{""9"": 8325, ""1"": 5660, ""7"": 4965, ""missing"": 2886, ""10"": 1605, ""5"": 1495, ""8"": 1073, ""3"": 851, ""2"": 518, ""13"": 377, ""11"": 225, ""0"": 142, ""4"": 9, ""6"": 8}"
individual,veh3_class,V08.3,ranked_vehicle_context,best vehicle class for each ranked vehicle,categorical,category,Vehicle type may change perceived risk and pedestrian response,Chi-square or Fisher,Cramer's V,Cramer's V,grouped permutation importance,candidate,missing or unknown retained as category,Vehicle rank 3. Expands into three categorical features,True,individual_core,28139,0,0.0,13,,,,,,,,,,,,"{""7"": 7873, ""9"": 5490, ""1"": 5319, ""missing"": 4505, ""10"": 1617, ""3"": 1324, ""8"": 605, ""5"": 550, ""2"": 395, ""13"": 299, ""11"": 95, ""0"": 57, ""6"": 10}"
individual,veh1_history_mean_front_y_m,V09.1,ranked_vehicle_context,mean vehicle y across previous 2 s,numeric,m,Average distance reduces one-frame tracking noise,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over available history; paired presence mask,Vehicle rank 1. Must follow the same vehicle track over history,True,individual_core,26792,1347,0.04786950495753225,16316,8.593233176731541,12.06361036456366,-0.0006306249999999,0.3468046957142858,0.6910605714285714,2.1081955952380955,3.540544023809523,9.564068654761906,35.36709605952372,59.774373582857145,85.46964825,
individual,veh2_history_mean_front_y_m,V09.2,ranked_vehicle_context,mean vehicle y across previous 2 s,numeric,m,Average distance reduces one-frame tracking noise,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over available history; paired presence mask,Vehicle rank 2. Must follow the same vehicle track over history,True,individual_core,25253,2886,0.10256228010945663,15301,7.661451952285606,10.799572498446317,-0.0485612857142857,0.1750497142857143,0.3537592190476191,1.648274523809523,3.802476761904762,8.329358428571428,31.61374498095235,56.463661156190454,83.071831,
individual,veh3_history_mean_front_y_m,V09.3,ranked_vehicle_context,mean vehicle y across previous 2 s,numeric,m,Average distance reduces one-frame tracking noise,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over available history; paired presence mask,Vehicle rank 3. Must follow the same vehicle track over history,True,individual_core,23634,4505,0.1600980845090444,14223,6.6590540476282865,8.86394232146552,-0.0910343333333333,0.08381058047619047,0.3136037619047619,1.6716570952380954,3.8307945555555545,7.522138565476191,25.84420643571428,44.07902933333333,85.38012366666668,
individual,veh1_history_front_y_change_m,V10.1,ranked_vehicle_context,last minus first vehicle y across previous 2 s,numeric,m,Distance change represents recent approach dynamics,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,computed when history available; paired presence mask,Vehicle rank 1. May correlate with closing speed,True,individual_core,26792,1347,0.04786950495753225,16000,-3.7616785614735746,5.715129941945943,-34.674239,-22.23735,-16.15617755,-6.206859999999999,-0.17063000000000006,1.2500000000359446e-06,0.0557530000000001,0.6124969300000014,12.026543999999998,
individual,veh2_history_front_y_change_m,V10.2,ranked_vehicle_context,last minus first vehicle y across previous 2 s,numeric,m,Distance change represents recent approach dynamics,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,computed when history available; paired presence mask,Vehicle rank 2. May correlate with closing speed,True,individual_core,25253,2886,0.10256228010945663,15028,-3.7520769012394566,5.312695117083456,-33.294786,-20.91596436,-15.173632,-6.23421,-0.5348979999999997,-0.0001079999999999,0.04980440000000004,0.36035479999999903,7.224844,
individual,veh3_history_front_y_change_m,V10.3,ranked_vehicle_context,last minus first vehicle y across previous 2 s,numeric,m,Distance change represents recent approach dynamics,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,computed when history available; paired presence mask,Vehicle rank 3. May correlate with closing speed,True,individual_core,23634,4505,0.1600980845090444,14039,-3.664164132182449,4.806554653180963,-32.077685,-19.61139441,-13.204836449999997,-6.242656,-1.4155960000000007,-0.0025749999999999,0.0425752500000002,0.1665139999999998,9.232012,
individual,veh1_history_observed_fraction,V11.1,ranked_vehicle_context,directly observed fraction for each vehicle over previous 2 s,numeric,proportion,Quantifies reliability of ranked-vehicle history,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero when rank unavailable,Vehicle rank 1. Quality feature rather than behavioural feature,True,individual_core,28139,0,0.0,22,0.8795401738647768,0.283090108983052,0.0,0.0,0.0476190476190476,1.0,1.0,1.0,1.0,1.0,1.0,
individual,veh2_history_observed_fraction,V11.2,ranked_vehicle_context,directly observed fraction for each vehicle over previous 2 s,numeric,proportion,Quantifies reliability of ranked-vehicle history,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero when rank unavailable,Vehicle rank 2. Quality feature rather than behavioural feature,True,individual_core,28139,0,0.0,22,0.8389728541475229,0.3391575385283862,0.0,0.0,0.0,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,
individual,veh3_history_observed_fraction,V11.3,ranked_vehicle_context,directly observed fraction for each vehicle over previous 2 s,numeric,proportion,Quantifies reliability of ranked-vehicle history,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero when rank unavailable,Vehicle rank 3. Quality feature rather than behavioural feature,True,individual_core,28139,0,0.0,22,0.7867474222355348,0.38388759527517674,0.0,0.0,0.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,
individual,dbscan_history_mean_group_size,G01,dbscan_context,mean snapshot group size across previous 2 s,numeric,persons,Group presence is a required explanatory behavioural variable,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,theory_mandatory,mean with singleton represented as one,Actual rank will still be reported,True,dbscan_addon,28139,0,0.0,693,2.701405986367518,2.0258847844634253,1.0,1.0,1.0,1.0476190476190477,2.0,3.571428571428572,7.0,9.0,25.904761904761905,
individual,dbscan_history_mean_spread_m,G02,dbscan_context,mean DBSCAN spatial spread across previous 2 s,numeric,m,Compact and dispersed groups may behave differently,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero for singleton,May correlate with group size,True,dbscan_addon,28139,0,0.0,16364,0.4353807793619641,0.4123752013783082,0.0,0.0,0.0,0.0022541904761904,0.3785190952380952,0.722237380952381,1.1859418904761898,1.5039774285714285,2.6998382857142857,
individual,dbscan_history_mean_vx_mps,G03,dbscan_context,mean group vx averaged across previous 2 s,numeric,m/s,Companion lateral motion may influence the focal pedestrian,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over valid snapshots,Excludes future information,True,dbscan_addon,28139,0,0.0,24186,-0.013625496545414888,0.4262298091443098,-1.722365476190476,-1.2356783114285714,-0.8173568857142858,-0.1406110714285714,-0.0028782857142857,0.1110033809523809,0.7685452904761881,1.237653394285714,2.813599095238096,
