feature_id,feature_name,block,variable_type,unit,history_definition,behavioural_reason,h1_test,h1_effect_size,h1_p_value,h1_q_value_bh,h1_fdr_significant,h2_test,h2_effect_size,h2_p_value,h2_q_value_bh,h2_fdr_significant,h3_test,h3_effect_size,h3_p_value,h3_q_value_bh,h3_fdr_significant,redundancy_measure,strongest_same_type_partner,strongest_association,absolute_strongest_association,threshold_flag_ge_0p80,post_redundancy_role,entered_25_feature_rf_ranking,decision_reason
P11,history_x_displacement_m,individual_motion,numeric,m,last x minus first x over previous 2 s,Measures net movement along the waiting boundary,mann_whitney_u,-0.0815955,1.08028e-08,1.98051e-08,True,mann_whitney_u,-0.0169808,0.0917292,0.100902,False,mann_whitney_u,0.00876561,0.324108,0.356519,False,Spearman rho,history_mean_vx_mps,0.994626,0.994626,True,removed_from_primary_after_redundancy_review,False,Near-duplicate of history mean vx over a fixed 2 s window; history_mean_vx_mps retained as the more direct and stable representation.
P12,history_y_displacement_m,individual_motion,numeric,m,last y minus first y over previous 2 s,Measures net movement toward or away from crossing onset,mann_whitney_u,0.425443,2.73777e-195,2.6351e-194,True,mann_whitney_u,0.535195,0,0,True,mann_whitney_u,0.558583,0,0,True,Spearman rho,history_mean_vy_mps,0.991016,0.991016,True,removed_from_primary_after_redundancy_review,False,Near-duplicate of history mean vy over a fixed 2 s window; history_mean_vy_mps retained as the direct road-direction motion representation.
W01,window_low_speed_fraction,individual_waiting,numeric,proportion,fraction of previous 2 s at speed <=0.5 m/s,Quantifies recent stationary waiting rather than one-frame speed,mann_whitney_u,-0.423731,5.39519e-195,4.61589e-194,True,mann_whitney_u,-0.418817,0,0,True,mann_whitney_u,-0.396921,0,0,True,Spearman rho,history_mean_speed_mps,-0.88513,0.88513,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
W02,waiting_band_dwell_sec,individual_waiting,numeric,s,causal continuous duration inside pedestrian active-area waiting band -3<=y<0,Longer waiting may change crossing acceptance behaviour,mann_whitney_u,-0.234324,1.36054e-60,8.73016e-60,True,mann_whitney_u,-0.230434,6.46413e-116,4.14782e-115,True,mann_whitney_u,-0.243118,1.07378e-164,6.89007e-164,True,Spearman rho,waiting_low_speed_time_sec,0.895783,0.895783,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
W03,waiting_low_speed_time_sec,individual_waiting,numeric,s,causal cumulative low-speed time in current waiting episode,Tests whether cumulative low-velocity waiting beyond the fixed 2 s history affects crossing intention,mann_whitney_u,-0.394129,1.22522e-169,9.4342e-169,True,mann_whitney_u,-0.362585,6.75508e-287,5.20141e-286,True,mann_whitney_u,-0.348458,0,0,True,Spearman rho,waiting_band_dwell_sec,0.895783,0.895783,True,waiting_sensitivity_only,False,Excluded from primary fixed-history ranking and evaluated separately as a cumulative-waiting sensitivity variable.
D01,gender,individual_demography,categorical,category,best track-level gender label,Individual demographic differences are an explanatory research question,chi_square,0.037944,5.87068e-10,1.25567e-09,True,chi_square,0.061526,2.73047e-24,6.18372e-24,True,chi_square,0.0612528,4.37731e-24,9.36258e-24,True,Cramer's V,age_group,0.190147,0.190147,False,prespecified_explanatory,False,Prespecified explanatory demographic variable; tested later as a block rather than allowed to displace behavioural core features.
D02,age_group,individual_demography,categorical,category,best track-level age group,Age category may influence movement and gap acceptance,chi_square,0.0135549,0.0426249,0.0497291,True,chi_square,0.0218088,0.0009462,0.00123487,True,chi_square,0.0229867,0.000468318,0.000667787,True,Cramer's V,gender,0.190147,0.190147,False,prespecified_explanatory,False,Prespecified explanatory demographic variable; tested later as a block rather than allowed to displace behavioural core features.
Q01,history_observed_fraction,data_quality,numeric,proportion,fraction of expected 10 Hz history directly observed,Allows the model audit to quantify occlusion and reconstruction quality,mann_whitney_u,-0.101253,6.94726e-19,2.32582e-18,True,mann_whitney_u,-0.0850119,4.50147e-26,1.11811e-25,True,mann_whitney_u,-0.0922137,1.66009e-38,4.40781e-38,True,Spearman rho,history_max_unobserved_gap_sec,-0.99575,0.99575,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
Q02,history_interpolated_fraction,data_quality,numeric,proportion,fraction of expected history reconstructed,Tests whether reconstructed observations influence predictions,mann_whitney_u,0.0737757,8.43954e-12,2.16615e-11,True,mann_whitney_u,0.0602441,2.67255e-15,5.14465e-15,True,mann_whitney_u,0.0652646,2.98994e-22,6.05855e-22,True,Spearman rho,history_observed_fraction,-0.872848,0.872848,True,removed_from_primary_after_redundancy_review,False,Redundant observation-quality representation; history_observed_fraction retained.
Q03,history_max_unobserved_gap_sec,data_quality,numeric,s,longest missing interval in previous 2 s,Large occlusions may make intention less reliable,mann_whitney_u,0.103778,8.05641e-20,2.81974e-19,True,mann_whitney_u,0.0872417,1.85613e-27,4.76407e-27,True,mann_whitney_u,0.0946339,1.36235e-40,3.88523e-40,True,Spearman rho,history_observed_fraction,-0.99575,0.99575,True,removed_from_primary_after_redundancy_review,False,Strongly redundant with overall observation completeness; history_observed_fraction retained as the simpler quality summary.
T01,active_vehicle_count,traffic_context,count,count,count of vehicles inside vehicle active area at decision time,Represents overall traffic exposure,mann_whitney_u,0.0507748,0.000370908,0.000519272,True,mann_whitney_u,0.043028,1.90687e-05,2.62195e-05,True,mann_whitney_u,0.0237323,0.00755816,0.00954063,True,Spearman rho,stopped_vehicle_count,0.781147,0.781147,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
T02,approaching_vehicle_count,traffic_context,count,count,count of relevant active vehicles with closing motion,Represents immediate approaching traffic pressure,mann_whitney_u,-0.0814107,1.04369e-08,1.98051e-08,True,mann_whitney_u,-0.126473,2.07677e-36,5.92264e-36,True,mann_whitney_u,-0.138716,3.03539e-55,9.73854e-55,True,Spearman rho,veh3_ttc_capped_sec,-0.619082,0.619082,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
T03,stopped_vehicle_count,traffic_context,count,count,count of active vehicles below stopped-speed threshold,Stopped vehicles may permit or obstruct crossing,mann_whitney_u,0.0700824,4.53883e-07,7.28103e-07,True,mann_whitney_u,0.0954389,2.10546e-22,4.38163e-22,True,mann_whitney_u,0.0778035,2.45051e-19,4.83819e-19,True,Spearman rho,veh2_speed_mps,-0.807215,0.807215,True,removed_from_primary_after_redundancy_review,False,Kept outside the primary pool after traffic-count review; active and approaching counts provide clearer primary exposure measures.
V01.1,veh1_present,ranked_vehicle_context,binary,0/1,current presence for each of three ranked vehicles,Absence of a relevant vehicle is itself informative,chi_square,0.00626738,0.14679,0.156984,False,chi_square,0.00828119,0.0869644,0.0970473,False,chi_square,0.00371814,0.238569,0.270144,False,Cramer's V,veh1_class,0.999769,0.999769,True,technical_presence_mask,False,Technical missing-vehicle mask retained automatically with ranked-vehicle numerical values; it is not counted as a conceptual ranked feature.
V01.2,veh2_present,ranked_vehicle_context,binary,0/1,current presence for each of three ranked vehicles,Absence of a relevant vehicle is itself informative,chi_square,0,0.742733,0.742733,False,chi_square,0,0.383458,0.399004,False,chi_square,0.0162015,0.00378127,0.00501997,True,Cramer's V,veh2_class,0.999787,0.999787,True,technical_presence_mask,False,Technical missing-vehicle mask retained automatically with ranked-vehicle numerical values; it is not counted as a conceptual ranked feature.
V01.3,veh3_present,ranked_vehicle_context,binary,0/1,current presence for each of three ranked vehicles,Absence of a relevant vehicle is itself informative,chi_square,0.0050051,0.191646,0.196756,False,chi_square,0,0.68716,0.705484,False,chi_square,0.0185323,0.00109246,0.00152944,True,Cramer's V,veh3_class,0.999805,0.999805,True,technical_presence_mask,False,Technical missing-vehicle mask retained automatically with ranked-vehicle numerical values; it is not counted as a conceptual ranked feature.
V02.1,veh1_lateral_x_m,ranked_vehicle_context,numeric,m,current vehicle x in vehicle coordinates,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,mann_whitney_u,-0.0366704,0.0118646,0.0145012,True,mann_whitney_u,0.0281906,0.00617365,0.00779296,True,mann_whitney_u,0.0632626,3.57701e-12,6.55785e-12,True,Spearman rho,veh2_lateral_x_m,0.541709,0.541709,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V02.2,veh2_lateral_x_m,ranked_vehicle_context,numeric,m,current vehicle x in vehicle coordinates,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,mann_whitney_u,-0.0970433,1.24144e-10,2.8967e-10,True,mann_whitney_u,-0.0416314,9.25748e-05,0.000125057,True,mann_whitney_u,-0.0174672,0.0639571,0.0781698,False,Spearman rho,veh3_lateral_x_m,0.653819,0.653819,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V02.3,veh3_lateral_x_m,ranked_vehicle_context,numeric,m,current vehicle x in vehicle coordinates,Lateral position indicates whether a vehicle aligns with the pedestrian crossing path,mann_whitney_u,-0.103425,2.34614e-11,5.64541e-11,True,mann_whitney_u,-0.051651,2.65778e-06,3.7898e-06,True,mann_whitney_u,-0.0375023,0.000123462,0.000179369,True,Spearman rho,veh2_lateral_x_m,0.653819,0.653819,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V03.1,veh1_front_y_m,ranked_vehicle_context,numeric,m,current nonnegative vehicle y in vehicle coordinates,Vehicle y approximately represents forward distance to the conflict reference,mann_whitney_u,-0.0592075,4.85431e-05,7.18811e-05,True,mann_whitney_u,-0.0386624,0.000172904,0.000229545,True,mann_whitney_u,-0.016504,0.0696946,0.0825614,False,Spearman rho,veh1_history_mean_front_y_m,0.883249,0.883249,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V03.2,veh2_front_y_m,ranked_vehicle_context,numeric,m,current nonnegative vehicle y in vehicle coordinates,Vehicle y approximately represents forward distance to the conflict reference,mann_whitney_u,-0.0257971,0.0871921,0.0987322,False,mann_whitney_u,-0.0224933,0.0346726,0.0410737,True,mann_whitney_u,-0.0133084,0.158121,0.181721,False,Spearman rho,veh2_history_mean_front_y_m,0.887033,0.887033,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V03.3,veh3_front_y_m,ranked_vehicle_context,numeric,m,current nonnegative vehicle y in vehicle coordinates,Vehicle y approximately represents forward distance to the conflict reference,mann_whitney_u,-0.0391184,0.0114854,0.0142641,True,mann_whitney_u,-0.0543976,7.6014e-07,1.14766e-06,True,mann_whitney_u,-0.0507295,2.06681e-07,3.18289e-07,True,Spearman rho,veh3_history_mean_front_y_m,0.870601,0.870601,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V04.1,veh1_speed_mps,ranked_vehicle_context,numeric,m/s,current smoothed vehicle speed,Faster vehicles may reduce acceptable crossing opportunities,mann_whitney_u,-0.0772054,1.29441e-07,2.16673e-07,True,mann_whitney_u,-0.0844816,2.81914e-16,5.56599e-16,True,mann_whitney_u,-0.0567658,5.06613e-10,8.86572e-10,True,Spearman rho,veh1_closing_speed_mps,0.868615,0.868615,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V04.2,veh2_speed_mps,ranked_vehicle_context,numeric,m/s,current smoothed vehicle speed,Faster vehicles may reduce acceptable crossing opportunities,mann_whitney_u,-0.12626,7.21107e-17,2.13559e-16,True,mann_whitney_u,-0.137662,5.85151e-38,1.73295e-37,True,mann_whitney_u,-0.117293,2.85296e-35,7.32259e-35,True,Spearman rho,veh2_closing_speed_mps,0.895136,0.895136,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V04.3,veh3_speed_mps,ranked_vehicle_context,numeric,m/s,current smoothed vehicle speed,Faster vehicles may reduce acceptable crossing opportunities,mann_whitney_u,-0.155948,9.33592e-24,3.42317e-23,True,mann_whitney_u,-0.192261,5.86134e-68,2.82077e-67,True,mann_whitney_u,-0.189916,1.23671e-83,5.95166e-83,True,Spearman rho,veh3_closing_speed_mps,0.924996,0.924996,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V05.1,veh1_closing_speed_mps,ranked_vehicle_context,numeric,m/s,max of zero and negative vehicle vy,Closing speed directly represents approach toward the conflict reference,mann_whitney_u,-0.0589892,4.38604e-05,6.62206e-05,True,mann_whitney_u,-0.0549358,7.15229e-08,1.22384e-07,True,mann_whitney_u,-0.0277985,0.00203992,0.00275568,True,Spearman rho,veh1_speed_mps,0.868615,0.868615,True,removed_from_primary_after_redundancy_review,False,Removed from the primary pool under the researcher-reviewed vehicle policy; smoothed vehicle speed was retained as the more stable and interpretable motion measure.
V05.2,veh2_closing_speed_mps,ranked_vehicle_context,numeric,m/s,max of zero and negative vehicle vy,Closing speed directly represents approach toward the conflict reference,mann_whitney_u,-0.101204,1.33391e-11,3.31326e-11,True,mann_whitney_u,-0.109042,5.54506e-25,1.29385e-24,True,mann_whitney_u,-0.0948081,3.78114e-24,8.3185e-24,True,Spearman rho,veh2_speed_mps,0.895136,0.895136,True,removed_from_primary_after_redundancy_review,False,Removed from the primary pool under the researcher-reviewed vehicle policy; smoothed vehicle speed was retained as the more stable and interpretable motion measure.
V05.3,veh3_closing_speed_mps,ranked_vehicle_context,numeric,m/s,max of zero and negative vehicle vy,Closing speed directly represents approach toward the conflict reference,mann_whitney_u,-0.134069,2.81659e-18,9.03657e-18,True,mann_whitney_u,-0.172294,5.46043e-56,2.00216e-55,True,mann_whitney_u,-0.166951,2.59676e-66,9.52144e-66,True,Spearman rho,veh3_speed_mps,0.924996,0.924996,True,removed_from_primary_after_redundancy_review,False,Removed from the primary pool under the researcher-reviewed vehicle policy; smoothed vehicle speed was retained as the more stable and interpretable motion measure.
V06.1,veh1_ttc_capped_sec,ranked_vehicle_context,numeric,s,front y divided by closing speed capped at 30 s,Short TTC can discourage crossing,mann_whitney_u,0.0182395,0.160196,0.168973,False,mann_whitney_u,0.0452704,7.80752e-07,1.15611e-06,True,mann_whitney_u,0.0355787,1.0933e-05,1.65067e-05,True,Spearman rho,veh1_closing_speed_mps,-0.828628,0.828628,True,removed_from_primary_after_redundancy_review,False,Removed from the primary pool because TTC is a derived combination of front distance and closing speed and was redundant/unstable when closing speed approached zero.
V06.2,veh2_ttc_capped_sec,ranked_vehicle_context,numeric,s,front y divided by closing speed capped at 30 s,Short TTC can discourage crossing,mann_whitney_u,0.0723164,2.76398e-08,4.83696e-08,True,mann_whitney_u,0.108875,2.04433e-32,5.62191e-32,True,mann_whitney_u,0.106296,2.89865e-39,7.97128e-39,True,Spearman rho,veh2_closing_speed_mps,-0.824642,0.824642,True,removed_from_primary_after_redundancy_review,False,Removed from the primary pool because TTC is a derived combination of front distance and closing speed and was redundant/unstable when closing speed approached zero.
V06.3,veh3_ttc_capped_sec,ranked_vehicle_context,numeric,s,front y divided by closing speed capped at 30 s,Short TTC can discourage crossing,mann_whitney_u,0.101736,6.15063e-15,1.6331e-14,True,mann_whitney_u,0.147448,8.81715e-58,3.77178e-57,True,mann_whitney_u,0.155382,1.51768e-81,6.87421e-81,True,Spearman rho,veh3_closing_speed_mps,-0.830603,0.830603,True,removed_from_primary_after_redundancy_review,False,Removed from the primary pool because TTC is a derived combination of front distance and closing speed and was redundant/unstable when closing speed approached zero.
V07.1,veh1_ttc_infinite,ranked_vehicle_context,binary,0/1,one when stopped receding or no finite TTC,Separates genuinely large TTC from stopped or nonapproaching vehicles,chi_square,0.015237,0.00605895,0.00804378,True,chi_square,0.031071,1.11425e-07,1.86515e-07,True,chi_square,0.0225327,9.23838e-05,0.000136799,True,Cramer's V,veh2_ttc_infinite,0.638919,0.638919,False,removed_from_primary_after_redundancy_review,False,Removed with capped TTC from the primary representation; vehicle presence masks remain the technical absence indicators.
V07.2,veh2_ttc_infinite,ranked_vehicle_context,binary,0/1,one when stopped receding or no finite TTC,Separates genuinely large TTC from stopped or nonapproaching vehicles,chi_square,0.0336563,9.83634e-09,1.94205e-08,True,chi_square,0.0669835,1.63827e-29,4.3499e-29,True,chi_square,0.0725588,2.67232e-34,6.63769e-34,True,Cramer's V,veh1_ttc_infinite,0.638919,0.638919,False,removed_from_primary_after_redundancy_review,False,Removed with capped TTC from the primary representation; vehicle presence masks remain the technical absence indicators.
V07.3,veh3_ttc_infinite,ranked_vehicle_context,binary,0/1,one when stopped receding or no finite TTC,Separates genuinely large TTC from stopped or nonapproaching vehicles,chi_square,0.0479384,5.34829e-16,1.52525e-15,True,chi_square,0.0943365,1.27926e-56,4.92516e-56,True,chi_square,0.109864,4.65944e-76,1.9932e-75,True,Cramer's V,veh2_ttc_infinite,0.610338,0.610338,False,removed_from_primary_after_redundancy_review,False,Removed with capped TTC from the primary representation; vehicle presence masks remain the technical absence indicators.
V08.1,veh1_class,ranked_vehicle_context,categorical,category,best vehicle class for each ranked vehicle,Vehicle type may change perceived risk and pedestrian response,chi_square,0.0426243,1.45468e-08,2.60489e-08,True,chi_square,0.0573626,2.56013e-16,5.18763e-16,True,chi_square,0.0796196,1.97381e-33,4.74948e-33,True,Cramer's V,veh1_present,0.999769,0.999769,True,prespecified_explanatory,False,Prespecified explanatory categorical variable; evaluated later as a vehicle-class block using one-hot encoding.
V08.2,veh2_class,ranked_vehicle_context,categorical,category,best vehicle class for each ranked vehicle,Vehicle type may change perceived risk and pedestrian response,chi_square,0.0273352,0.00119283,0.00164014,True,chi_square,0.0389807,2.97574e-07,4.77359e-07,True,chi_square,0.0562365,6.82644e-16,1.31409e-15,True,Cramer's V,veh2_present,0.999787,0.999787,True,prespecified_explanatory,False,Prespecified explanatory categorical variable; evaluated later as a vehicle-class block using one-hot encoding.
V08.3,veh3_class,ranked_vehicle_context,categorical,category,best vehicle class for each ranked vehicle,Vehicle type may change perceived risk and pedestrian response,chi_square,0.042228,9.02895e-09,1.82955e-08,True,chi_square,0.039409,1.35487e-07,2.21968e-07,True,chi_square,0.0488496,6.00447e-12,1.07522e-11,True,Cramer's V,veh3_present,0.999805,0.999805,True,prespecified_explanatory,False,Prespecified explanatory categorical variable; evaluated later as a vehicle-class block using one-hot encoding.
V09.1,veh1_history_mean_front_y_m,ranked_vehicle_context,numeric,m,mean vehicle y across previous 2 s,Average distance reduces one-frame tracking noise,mann_whitney_u,-0.0572154,8.64266e-05,0.000125563,True,mann_whitney_u,-0.0498424,1.28763e-06,1.87071e-06,True,mann_whitney_u,-0.0257603,0.00463704,0.00605173,True,Spearman rho,veh1_front_y_m,0.883249,0.883249,True,removed_from_primary_after_redundancy_review,False,Removed after vehicle-distance redundancy review; current front_y retained as the direct decision-time distance.
V09.2,veh2_history_mean_front_y_m,ranked_vehicle_context,numeric,m,mean vehicle y across previous 2 s,Average distance reduces one-frame tracking noise,mann_whitney_u,-0.055687,0.000222353,0.00031706,True,mann_whitney_u,-0.0657342,6.71893e-10,1.20316e-09,True,mann_whitney_u,-0.0544403,7.7573e-09,1.27088e-08,True,Spearman rho,veh2_front_y_m,0.887033,0.887033,True,removed_from_primary_after_redundancy_review,False,Removed after vehicle-distance redundancy review; current front_y retained as the direct decision-time distance.
V09.3,veh3_history_mean_front_y_m,ranked_vehicle_context,numeric,m,mean vehicle y across previous 2 s,Average distance reduces one-frame tracking noise,mann_whitney_u,-0.0847118,4.41174e-08,7.54898e-08,True,mann_whitney_u,-0.114297,2.72889e-25,6.56638e-25,True,mann_whitney_u,-0.113283,4.2739e-31,9.97244e-31,True,Spearman rho,veh3_front_y_m,0.870601,0.870601,True,removed_from_primary_after_redundancy_review,False,Removed after vehicle-distance redundancy review; current front_y retained as the direct decision-time distance.
V10.1,veh1_history_front_y_change_m,ranked_vehicle_context,numeric,m,last minus first vehicle y across previous 2 s,Distance change represents recent approach dynamics,mann_whitney_u,0.0380178,0.00909139,0.011476,True,mann_whitney_u,0.0476225,3.72773e-06,5.21882e-06,True,mann_whitney_u,0.0229164,0.0117804,0.0146305,True,Spearman rho,veh1_closing_speed_mps,-0.849399,0.849399,True,removed_from_primary_after_redundancy_review,False,Removed after vehicle-motion redundancy review; smoothed speed retained instead of another derived distance-change measure.
V10.2,veh2_history_front_y_change_m,ranked_vehicle_context,numeric,m,last minus first vehicle y across previous 2 s,Distance change represents recent approach dynamics,mann_whitney_u,0.0946891,3.42745e-10,7.54039e-10,True,mann_whitney_u,0.10571,3.19764e-23,6.8394e-23,True,mann_whitney_u,0.092019,1.68716e-22,3.51111e-22,True,Spearman rho,veh2_closing_speed_mps,-0.868033,0.868033,True,removed_from_primary_after_redundancy_review,False,Removed after vehicle-motion redundancy review; smoothed speed retained instead of another derived distance-change measure.
V10.3,veh3_history_front_y_change_m,ranked_vehicle_context,numeric,m,last minus first vehicle y across previous 2 s,Distance change represents recent approach dynamics,mann_whitney_u,0.129836,4.89516e-17,1.50771e-16,True,mann_whitney_u,0.159196,1.80342e-47,6.03752e-47,True,mann_whitney_u,0.159046,1.3302e-59,4.65571e-59,True,Spearman rho,veh3_closing_speed_mps,-0.881685,0.881685,True,removed_from_primary_after_redundancy_review,False,Removed after vehicle-motion redundancy review; smoothed speed retained instead of another derived distance-change measure.
V11.1,veh1_history_observed_fraction,ranked_vehicle_context,numeric,proportion,directly observed fraction for each vehicle over previous 2 s,Quantifies reliability of ranked-vehicle history,mann_whitney_u,0.0145939,0.171844,0.178811,False,mann_whitney_u,0.0115613,0.125032,0.133715,False,mann_whitney_u,0.00129001,0.846269,0.852389,False,Spearman rho,active_vehicle_count,0.488754,0.488754,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
V11.2,veh2_history_observed_fraction,ranked_vehicle_context,numeric,proportion,directly observed fraction for each vehicle over previous 2 s,Quantifies reliability of ranked-vehicle history,mann_whitney_u,0.0238004,0.0298775,0.0359464,True,mann_whitney_u,0.0103238,0.181861,0.191826,False,mann_whitney_u,-0.00376963,0.580822,0.621157,False,Spearman rho,veh3_history_observed_fraction,0.567964,0.567964,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
